name,address,lat,lng
Palau de la Virreina,"Rambla Sant Josep, 99",41.38254877,2.171857545
Casa Amatller,Passeig de GrÌÊcia 41,41.39174754,2.165216757
Casa LleÌ_-Morera,Passeig de GrÌÊcia 35,41.39120779,2.165749327
Palau de la Generalitat,Carrer Sant Honorat 1-3,41.38296251,2.176977955
Ajuntament de Barcelona,"PlaÌ_a de Sant Jaume, 1",41.38239148,2.177234888
Desconsol,Parc de la Ciutadella,41.38844804,2.185526065
Temple d'August,Carrer del ParadÌ_s 10,41.38338,2.177134
Dona i l'Ocell (La),Parc de l'Escorxador,41.37813576,2.146475254
Casa Terrades (Casa de les Punxes),"Av. Diagonal, 416-420",41.39786113,2.163921342
Castell dels Tres Dragons,"Passeig Picasso, 5",41.388526,2.183879671
Carrer Ferran,Carrer de Ferran,41.38133387,2.175312678
Fossar de les Moreres,Carrer del Fossar de les Moreres,41.383737,2.182427645
Colegio Teresiano,Carrer de Ganduxer 87,41.39966974,2.133451468
Pabellones de la Finca GÌ_ell,Avinguda De Pedralbes 7,41.38928594,2.119406462
Barcelona Pavilion,Near Avinguda del MarquÌ¬s de Comilles,41.37096603,2.150043548
MirÌ_ Mosaic on the Rambla,La Rambla,41.38122365,2.173229969
Parlament de Catalunya,Parc de la Ciutadella,41.38806246,2.188918591
PlaÌ_a De John Lennon,Travessera de GrÌÁcia,41.402853,2.161381
Fira de Barcelona,"Av. de la Reina Maria Cristina, s/n",41.37328227,2.151196003
Centre MÌ¬dic Teknon,"C/ Vilana, 12",41.406497,2.126994
CCIB,"PlaÌ_a de Willy Brandt, 11-14",41.39953787,2.20584453
080 Barcelona Fashion,"PlaÌ_a de les GlÌ_ries, 37",41.38693555,2.11812973
Partit Dels Socialistes de Catalunya,Nicaragua 75-77,41.38425882,2.13974231
Departament d'Ensenyament,"Via Augusta, 202",41.39793015,2.13997364
METRO Drassanes,"Avda. Drassanes, S/N",41.37691322,2.176333666
Mossos d'Esquadra,iradier 11,41.404524,2.125465
Biblioteca de Catalunya,"C. de l'Hospital, 56",41.3810083,2.169904553
METRO Sagrera,"Av. Meridiana, 257",41.42113665,2.184691429
World Trade Center Barcelona,Moll 18C,41.37144659,2.181590796
Centro Internacional de Medicina Avanzada (CIMA),"Pg. Manuel Girona, 33",41.39106092,2.123657348
Auditori Axa,"Avinguda Diagonal, 547",41.38952872,2.137023523
Tram T4 FÌ_rum,Taulat,41.41182567,2.219843119
Cambra del ComerÌ_ de Barcelona,"Avinguda Diagonal, 452",41.39602629,2.157857375
Casa Del Mar,Carrer Albareda,41.37372059,2.173940191
ConvergÌ¬ncia DemocrÌÊtica de Catalunya,"CÌ_rsega, 333",41.39749294,2.160730941
Hife Barcelona,"175 Calle de Numancia, Barcelona, CT, EspaÌ±a",41.38877027,2.133365167
Ronda Litoral (Zona Franca),Pje de Josep Carner,41.34541941,2.137742043
Oficina DNI y Pasaporte,Trafalgar 4,41.38880301,2.174199328
Biblioteca Garcilaso,"Garcilaso, 103",41.42215783,2.185559665
Funicular de Ciutat Meridiana,Rasos de Peguera 62,41.45666895,2.187940564
RENFE Torre BarÌ_-Ciutat Meridiana-Vallbona,Rasos de Peguera,41.46135019,2.180560827
Registre Civil,"PlaÌ_a del Duc de Medinaceli, 4",41.37855957,2.178865671
Escola AdministraciÌ_ PÌ_blica Catalunya,Girona 20,41.39145662,2.175643809
ClÌ_nica VeterinÌÊria Animalia,"26 de Gener , 42 - 44",41.374984,2.141572
Creu Roja,joan d'austria 120,41.39604739,2.187354928
"Seu del districte,  GrÌÊcia",Pl de la Vila,41.399855,2.158047
CAP Roger de Flor,Roger de Flor 194,41.39894654,2.173177183
TMB parada 1338 - 11 - 35 - 40 - B20 - B22 - N9,Carrer Segre,41.43356323,2.192443013
RENFE Sant Andreu Comtal,Pl. EstaciÌ_ 64,41.43608291,2.193489075
Centre RehabilitaciÌ_ Balmes,Balmes 107,41.391879,2.159047
Medifiatc,"Avda. Josep Tarradellas, 33",41.38439834,2.14238
Adeslas Centro MÌ©dico,,41.38681868,2.126955374
Aerobus,PlaÌ_a de Catalunya,41.38756541,2.170499861
ACCIÌÒ,"Passeig de GrÌÊcia, 129",41.39741507,2.157783508
Ateneu BarcelonÌ¬s,"Canuda, 6",41.38456092,2.171580791
Bicing 334,"Via Augusta, 348",41.400804,2.123222
Institut Universitari Dexeus,"Carrer de Sabino Arana, 6-18",41.3850077,2.12582884
Artchimboldi,Corsega 286,41.39460591,2.157243348
METRO VÌ_a Julia,VÌ_a Julia,41.44352325,2.179060837
Fremap,"Mallorca, 603-609",41.41266347,2.186903705
Maz Calle Tarragona,Tarragona 110,41.37997393,2.14384238
Delegacion del Gobierno,"passeig de sant joan, 189",41.40382945,2.163667061
Palau De Congressos De Barcelona,,41.37229137,2.151487253
Tesoreria General De La Seguridad Social,"Travessera de Gracia, 117",41.39937,2.154868
Torre Girona Students Residence Barcelona,Passeig dels Tilers 19 08034 Barcelona - Spain,41.39000816,2.116429383
CAP Manso,"Manso, 19",41.37642366,2.159867413
CEJFE,"Ausias March, 36",41.39174359,2.176258087
METRO Badal,Carrer de Sants,41.37527892,2.129416466
Ronda De Dalt entrada 6,"Avinguda de Vallcarca, 14-26",41.41510131,2.137987307
Viajes Iberia,"PotosÌ_, 2",41.44118849,2.197911942
CAP EIXAMPLE,Carrer RossellÌ_ 161,41.39030012,2.153234482
Sanitas - Centre Medic Robressa,Balmes 243,41.39965,2.149859863
CAP Montnegre,Carrer Montnegre,41.38756403,2.138567505
Instituts Odontologics,,41.38057618,2.130875587
DGAC  -  @gencat,Via Laietana 14 3a planta,41.38314415,2.179960012
Palau De Mar,Pau vila 1,41.38100487,2.186058875
Institut Oftalmologic Barraquer,Muntaner,41.39699048,2.146168318
eDreams,"World Trade Center, Edificio Norte 6 Pl",41.37188136,2.181987762
Urbanisme I Infraestructures,,41.4046345,2.190273582
MSC Splendida Barcellona,,41.36113276,2.180428681
Toni BovÌ© Centre de FisioterÌÊpia,Consell de cent 115,41.381042,2.152253
AVE BCN-MAD,,41.37958535,2.140327327
AVE Barcelona - Madrid,PlaÌ_a dels PaÌøsos Catalans,41.37905185,2.139397058
Servei Territ. Treball Barcelona,Albareda 2-4,41.37372778,2.174612032
ClÌ_nica MÌ¬dica d'especialitats,,41.39964614,2.202559924
Gencat - Serveis Territorials d'Agricultura,"Meridiana, 38",41.39574409,2.186982036
CAP Numancia,,41.38172126,2.140595861
CAP Roquetas,gargliano,41.44619235,2.172996
Cap Roquetas,"Garigliano, 25",41.44798759,2.175615015
Fiatc,"Avinguda Diagonal, 648",41.39022143,2.134036403
CINC Barcelona,Carrer Llull 321-329,41.40715684,2.209523189
Institut Universitari Dexeus,Angli 31,41.400187,2.125694
