name,address,lat,lng
Marisqueria La Maquinista,Carrer de Sao Paulo,41.4389,2.197515
Kuo,"Calle Madrazo, 135, Barcelona, Spain",41.396525,2.144204
Bar La Principal,"Carrer de SepÃºlveda, 186, Barcelona, Spain",41.383538,2.163201
Top Tapas Restaurant,"La Rambla, 19, Barcelona, Spain",41.378191,2.175604
la bauxa,"C/ Vallespir, 23, Barcelona, Spain",41.378617,2.137509
La Llar de Foc,"Carrer de RamÃ_n y Cajal, 13, Barcelona, Spain",41.402211,2.157882
Bandoler,"Carrer de Santes Creus, 13, Barcelona, Spain",41.430186,2.162316
PanaderÃ_a Tallers,"Carrer dels Tallers, 47, Barcelona, Spain",41.384796,2.167785
Bar Calders,"Carrer del Parlament, 25, Barcelona, Spain",41.37644,2.16238
NAP,"Carrer de Gombau, 5, Barcelona, Spain",41.38679,2.178784
La Royale,"PlaÃ§a del Camp, 5, Barcelona, Spain",41.403427,2.136017
URA Restaurant & Lounge,"Avinguda Diagonal, 477, Barcelona, Spain",41.392376,2.145863
Sushi Shop,"Avinguda Diagonal, 602, Barcelona, Spain",41.392853,2.143415
Restaurante Picasso,"Carrer de Mallorca, 422",41.40378116,2.175475843
Tommy Mel's,C.C. La Maquinista,41.440977,2.198408
Pijama Restaurant,"Carrer de la Granada del PenedÃ¨s, 29, Barcelona, Spain",41.396498,2.152007
Subway Heron City,"Av. Rio de Janeiro 42, Heron City, Local 1.18/R1 Subway",41.43510925,2.18098063
Restaurante Bonasport,Calle Vista Bella 11,41.41081,2.128115
Bormuth,"Carrer del Rec, 31, Barcelona, Spain",41.38581,2.182485
InsÃ_lita Gea,"Carrer de Sant Antoni Maria Claret, 216, Barcelona, Spain",41.411282,2.174612
Hard Rock Cafe Barcelona,"PlaÃ§a de Catalunya, 21, Barcelona, Spain",41.385988,2.170936
Restaurant Barceloneta,"Moll dels Pescador, Carrer de l'Escar, 22, Barcelona, Spain",41.375425,2.188613
Restaurante Nuba,"Carrer Doctor Fleming, 12, Barcelona, Spain",41.393114,2.135551
MontjuÃ¯c El Xalet Restaurant,"Avinguda de Miramar, 31, Barcelona, Spain",41.369063,2.164575
Bar Versalles 2,Alfambra 15,41.38647437,2.112517
De Tapa Madre Restaurant,"Carrer de Mallorca, 301, Barcelona, Spain",41.39695,2.166528
Miramar Restaurant Garden & Club,"Carretera de Miramar, 40",41.37113938,2.172519758
Sarrietto,"PlaÃ§a Camp, 2, Barcelona, Spain",41.403535,2.136296
CafÃ© & TÃ©,Plaza Kennedy,41.40993086,2.137105036
ABaC Restaurant & Hotel,Avda. Tibidabo 1,41.41048189,2.136395396
Alsur CafÃ© (Palau),"Carrer de Sant Pere MÃ©s Alt, 4, Barcelona, Spain",41.387136,2.175352
La Cueva del tÃ_o JesÃºs,"Carrer d'EscÃ_cia, 5, Barcelona, Spain",41.428565,2.183752
100 Montaditos Heron City,"Centro Comercial Heron City, Avenida de RÃ_o de Janeiro, 42, Barcelona, Spain",41.435705,2.180323
Restaurante Tapa Tapa,"Gran VÃ_a De les Corts Catalanes, 373 C Cial Arenas, Barcelona, Spain",41.37584,2.14987
Mama's Cafe,"Carrer de Torrijos, 26, Barcelona, Spain",41.403214,2.159068
Parisii Bistrot,"Carrer d'Aribau, 31, Barcelona, Spain",41.387112,2.160712
Once Upon a Time...Food & Drinks,"Carrer Mandri, 32, Barcelona, Spain",41.403182,2.134161
Giulietta Cafe,"PlaÃ§a Tetuan, 4, Barcelona, Spain",41.39426,2.175614
La Superllesca,"3 de Abril, 51  -  Sant Boi de Llobregat, Barcelona, 08830, Spain",41.42150047,2.120706357
RESTAURANTE  EL TRAPIO,"EsperanÃ§a, 25, Barcelona, 08017, Spain",41.40472055,2.127642135
Restaurante italiano La Locanda,"Dr. Joaquim Pou, 4, Barcelona, 08002, Spain",41.39594561,2.1286234
TWIST BARCELONA (SarriÃ ),"Rafael Batlle, 11 (sarria), Barcelona, 08017, Spain",41.39565796,2.127676422
El 99% Burger Bar ( Motos & Roll ),"Joan GÃ_ell, 207, Barcelona, 08028, Spain",41.3861392,2.129514666
RESTAURANTE LA VENTA,"PLAÃ‡ADOCTOR ANDREU S/N, Barcelona, 08035, Spain",41.4161609,2.131560712
Boteco CafÃ©,"Doctor Fleming 23, Barcelona, 08017, Spain",41.39467148,2.134741784
Quaranta,"Calle Nicaragua, 141, Barcelona, 08029, Spain",41.3870548,2.136284924
SABORIAN HELADERIA & LOUNGE BAR,"C/ Numancia, 127, Barcelona, 08029, Spain",41.38702969,2.134822873
Bar Salvat,"Andalusia, 2, Barcelona, 08014, Spain",41.37103542,2.134603019
The7bar - Restaurant & Lounge,"Carrer de Balmes, 314, Barcelona, 08006, Spain",41.40274196,2.144969038
CafeMilano,"c/ Muntaner 212 (amb c/Londres), Barcelona, 08036, Spain",41.39344985,2.150316203
Solidarik,"C/ AmigÃ_ NÂº 37, Barcelona, Barcelona, 08021 , Spain",41.39530872,2.144512766
Bar cabrils,"c/ AmigÃ_ 43, Barcelona, 08021, Spain",41.39566438,2.144074822
Ilgustoitalianobcn,"Carrer de CÃ_rsega, 68, Barcelona, 08029, Spain",41.38511829,2.144189323
Mylka ParkGÃ_ell,"Travessera de Dalt, 29, Barcelona, 08024, Spain",41.40868329,2.152746318
Hotel Zenit Borrell,"Comte Borrell 208, Barcelona, 08029, Spain",41.38584361,2.151451974
Dsantos Barcelona Restaurant,"Comte D' Urgell 190, Barcelona, 08036, Spain",41.38783193,2.151111305
GUSTO Ristorante Pizzeria,"calle rosello 108, Barcelona, 08036, Spain",41.38837696,2.150777423
Las Delicias del Carmelo,"Carretera del Carmel, 106, Barcelona, 8024, Spain",41.41823744,2.157464024
Tragaluz,"Passatge ConcepciÃ_ 5, Barcelona, 8008, Spain",41.39470268,2.160474551
DOMU Restaurant Pizzeria amb forn de llenya,"Carrer Muntaner 69, Barcelona, 08011, Spain",41.38690713,2.159018946
Mercat de Sant Antoni,"Carrer Comte d'Urgell 1, Barcelona, 8011, Spain",41.37914844,2.163095292
Pasa Pasa,"Comte Borrell, 80, Barcelona, 08015, Spain",41.37982604,2.159593083
MICHAEL COLLINS,"PZA. SAGRADA FAMILIA, 4, Barcelona, 08013, Spain",41.40225954,2.172794044
"Taverna Amsterdam, Barcelona","Carrer d'AragÃ_ 305, Barcelona, 08009, Spain",41.39474017,2.168200666
DOW JONES,"Carrer Bruc , 97, Barcelona, 08009, Spain",41.39562388,2.16776422
